#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-16T15:29:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ611a83dccb671	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=sexa
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/123/2772&tab:{J/AJ/123/2772/AGB}&key:source=J/AJ/123/2772/AGB&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/123/2772/AGB
#-order=I
#-out=n_Name
#-out=Name
#-out=Vlsr
#-out=Vexp
#-out=IRAS
#-out=NIRAS
#-out=S12um
#-out=S25um
#-out=S60um
#-out=S100um
#-out.all=2
#-out=S4um
#-out=S8um
#-out=S12umM
#-out=S15um
#-out=S21um
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=2MASS
#2MASS=2MASS
#-out=MSX
#MSX=MSX
#-out=GLON
#-out=GLAT
#-out=Vout
#-out=Sblue
#-out=Sred
#-out=vla
#-out=atca
#-out=_RA.icrs
#-out=_DE.icrs
#-out.all=2
#

#RESOURCE=yCat_51232772
#Name: J/AJ/123/2772
#Title: OH-selected AGB and post-AGB objects. I. (Sevenster+, 2002)
#Coosys	G:	galactic
#Table	J_AJ_123_2772_AGB:
#Name: J/AJ/123/2772/AGB
#Title: The catalogue of 766 OH-selected AGB and post-AGB objects (radio and infra-red data)
#Column	_RAJ2000	(A11)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A11)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	n_Name	(A1)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	Name	(A16)	OH name	[ucd=meta.id;meta.main]
#Column	Vlsr	(F6.1)	LSR velocity	[ucd=phys.veloc;pos.lsr]
#Column	Vexp	(F4.1)	Expansion velocity	[ucd=phys.veloc.expansion]
#Column	IRAS	(A10)	IRAS name	[ucd=meta.id.assoc]
#Column	NIRAS	(F6.2)	Distance between OH pos and IRAS pos in fractions of IRAS error ellipse IN THE DIRECTION of the OH source	[ucd=pos.angDistance]
#Column	S12um	(F7.2)	? Flux density at 12{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S25um	(F7.2)	? Flux density at 25{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	S60um	(F8.2)	? Flux density at 60{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.30-60um]
#Column	S100um	(F8.2)	? Flux density at 100{mu}m if N<1.5 (1)	[ucd=phot.flux.density;em.IR.60-100um]
#Column	S4um	(F6.2)	? MSX flux density at 4{mu}m (B2 band) if within 5" (1)	[ucd=phot.flux.density;em.IR.3-4um]
#Column	S8um	(F6.2)	? MSX flux density at 8{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S12umM	(F7.2)	? MSX flux density at 12{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S15um	(F7.2)	? MSX flux density at 15{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	S21um	(F7.2)	? MSX flux density at 21{mu}m if within 5" (1)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	Jmag	(F7.2)	? 2MASS J magnitude if within 3" (1)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.2)	? 2MASS H magnitude if within 3" (1)	[ucd=phot.mag;em.IR.H]
#Column	Kmag	(F7.2)	? 2MASS Ks magnitude if within 3" (1)	[ucd=phot.mag;em.IR.K]
#Column	2MASS	(a5)	Display the 2MASS (Cat. II/246) sources within a 10-arcsec radius	[ucd=meta.ref.url]
#Column	MSX	(A3)	Display the MSX6C (Cat. V/114) sources within a 15-arcsec radius	[ucd=meta.ref.url]
#Column	GLON	(F7.3)	Galactic longitude in range [0,360]{deg} (the original table contained negative longitudes)	[ucd=pos.galactic.lon]
#Column	GLAT	(F7.3)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Vout	(F6.3)	Outflow velocity	[ucd=phys.veloc]
#Column	Sblue	(F7.3)	Blue peak flux density	[ucd=phot.flux.density;em.IR]
#Column	Sred	(F7.3)	Red peak flux density	[ucd=phot.flux.density;em.IR]
#Column	vla	(A24)	VLA spectrum name (vla/spectrumname)	[ucd=meta.id;meta.file]
#Column	atca	(A25)	ATCA spectrum name (atca/spectrumname)	[ucd=meta.id;meta.file]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	n_Name	Name	Vlsr	Vexp	IRAS	NIRAS	S12um	S25um	S60um	S100um	S4um	S8um	S12umM	S15um	S21um	Jmag	Hmag	Kmag	2MASS	MSX	GLON	GLAT	Vout	Sblue	Sred	vla	atca	_RA.icrs	_DE.icrs
17 46 32.24	-28 41 06.2	 	OH000.319-00.041	  75.1	18.2	17433-2841	  8.38	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	000.319	-00.041	18.200	  1.322	  3.770	vla/OH000.319-00.041.dat	                         	266.6343	-28.6851
17 46 35.35	-28 58 55.8	 	OH000.071-00.205	 113.0	13.9	17434-2858	 12.10	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	000.071	-00.205	13.900	  0.895	  1.689	vla/OH000.071-00.205.dat	                         	266.6473	-28.9822
17 46 35.57	-29 21 50.8	 	OH359.745-00.404	 186.0	16.8	17433-2921	  6.23	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	359.745	-00.404	16.800	  0.312	  0.476	vla/OH359.745-00.404.dat	                         	266.6482	-29.3641
17 46 37.94	-29 19 29.5	 	OH359.783-00.391	 207.9	12.4	17433-2918	  1.58	       	       	        	        	 -8.79	  1.08	   1.89	   2.05	   3.05	 -17.63	 -13.66	  10.53	2MASS	MSX	359.783	-00.391	12.400	  0.561	  0.301	vla/OH359.783-00.391.dat	                         	266.6581	-29.3249
17 46 39.09	-28 28 06.9	 	OH000.517+00.050	 168.5	15.3	17433-2828	 17.67	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	000.517	+00.050	15.300	  0.437	  0.570	vla/OH000.517+00.050.dat	                         	266.6629	-28.4686
17 46 44.22	-27 49 50.6	 	OH001.072+00.365	-125.0	16.8	17435-2748	  0.61	  -4.56	   6.28	   17.45	 -817.00	      	      	       	       	       	       	       	       	2MASS	MSX	001.072	+00.365	16.800	  0.987	  1.058	vla/OH001.072+00.365.dat	                         	266.6843	-27.8307
17 46 49.00	-34 15 05.1	 	OH355.588-02.978	 106.1	 6.6	17434-3414	  0.19	  58.30	  41.91	    5.06	   -9.52	 14.11	 31.50	  39.18	  28.30	  36.37	   7.53	   5.97	   4.82	2MASS	MSX	355.588	-02.978	 6.600	  0.222	  0.438	vla/OH355.588-02.978.dat	                         	266.7042	-34.2514
17 46 51.05	-28 08 52.0	 	OH000.814+00.179	  72.9	16.1	17436-2807	  1.77	       	       	        	        	 -9.38	  1.04	   1.62	   3.13	  -3.12	       	       	       	2MASS	MSX	000.814	+00.179	16.100	  0.617	  1.775	vla/OH000.814+00.179.dat	                         	266.7127	-28.1478
17 47 03.96	-27 13 28.8	 	OH001.628+00.617	 -85.5	21.2	17439-2712	  0.80	  10.70	  13.16	  -52.98	 -568.80	 -9.25	  9.29	  12.86	  12.74	  13.60	  13.66	   9.68	   7.21	2MASS	MSX	001.628	+00.617	21.200	  0.285	  0.271	vla/OH001.628+00.617.dat	                         	266.7665	-27.2247
17 47 06.98	-28 44 44.6	 	OH000.333-00.181	-327.2	 0.0	17439-2845	 18.77	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	000.333	-00.181	 0.000	  2.524	  0.000	vla/OH000.333-00.181.dat	                         	266.7791	-28.7457
17 47 20.15	-28 23 03.9	 	OH000.667-00.035	  63.4	 3.7	17441-2822	  0.65	  -7.65	  68.67	12950.00	66650.00	      	      	       	       	       	       	       	       	2MASS	MSX	000.667	-00.035	 3.700	  1.387	  1.700	vla/OH000.667-00.035.dat	                         	266.8340	-28.3844
17 47 21.65	-27 44 24.4	 	OH001.221+00.294	-273.1	 0.0	17441-2743	  0.40	  -6.89	   3.36	  -29.83	 -549.70	 -9.38	  2.85	   3.38	   5.46	   4.67	 -16.26	 -14.03	  11.89	2MASS	MSX	001.221	+00.294	 0.000	  0.320	  0.000	vla/OH001.221+00.294.dat	                         	266.8402	-27.7401
17 47 22.65	-33 11 07.6	 	OH356.562-02.527	 -91.8	14.6	17440-3310	  0.24	  -4.05	  20.70	   30.14	 -156.50	 -9.13	 -0.09	  -1.32	   1.48	  13.94	  10.61	   9.82	   9.36	2MASS	MSX	356.562	-02.527	14.600	  1.730	  4.352	vla/OH356.562-02.527.dat	                         	266.8444	-33.1855
17 47 25.11	-28 36 33.6	 	OH000.484-00.167	 141.5	11.7	17443-2839	 42.90	       	       	        	        	 -9.38	  1.60	   1.87	   2.95	   3.34	 -15.87	  12.57	  10.42	2MASS	MSX	000.484	-00.167	11.700	  0.911	  1.686	vla/OH000.484-00.167.dat	                         	266.8546	-28.6093
17 47 25.33	-28 23 36.9	 	OH000.669-00.056	  67.0	 0.0	17441-2822	  5.56	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	000.669	-00.056	 0.000	  4.329	  0.000	vla/OH000.669-00.056.dat	                         	266.8556	-28.3936
17 47 27.60	-25 20 12.8	 	OH003.289+01.519	  29.1	16.1	17443-2519	  0.62	  38.34	  51.72	   13.75	  -74.43	 -9.67	 13.27	  18.49	  19.94	  26.19	 -15.00	  11.50	   8.90	2MASS	MSX	003.289	+01.519	16.100	  1.782	  2.189	vla/OH003.289+01.519.dat	                         	266.8650	-25.3369
17 47 31.85	-34 01 11.4	 	OH355.863-02.985	   8.2	19.7	17442-3400	  0.70	-103.20	  51.99	    8.63	   -7.81	 33.81	 75.61	  79.92	  58.98	  68.52	       	       	       	2MASS	MSX	355.863	-02.985	19.700	  0.229	  0.375	vla/OH355.863-02.985.dat	                         	266.8827	-34.0198
17 47 34.29	-31 29 10.3	 	OH358.039-01.684	-130.5	15.3	17445-3128	  6.34	       	       	        	        	 -9.25	 -0.10	  -1.37	   1.24	   6.70	  12.07	  10.66	   9.98	2MASS	MSX	358.039	-01.684	15.300	  1.085	  1.182	vla/OH358.039-01.684.dat	                         	266.8929	-31.4862
17 48 01.39	-34 19 40.8	 	OH355.651-03.231	-220.3	13.1	17447-3418	  0.19	  -2.53	   5.99	   10.17	   10.41	 -9.63	 -0.09	  -1.37	  -1.03	   4.47	  10.60	   9.94	   9.58	2MASS	MSX	355.651	-03.231	13.100	  1.097	  0.649	vla/OH355.651-03.231.dat	                         	267.0058	-34.3280
17 48 26.41	-22 59 20.1	 	OH005.417+02.539	  31.4	15.3	17454-2258	  0.26	   6.80	  12.41	    4.11	  -38.70	 -8.13	  5.35	   6.71	   8.44	  11.70	 -16.02	  11.91	   8.98	2MASS	MSX	005.417	+02.539	15.300	  0.551	  0.227	vla/OH005.417+02.539.dat	                         	267.1100	-22.9889
17 48 27.44	-27 57 48.9	 	OH001.155-00.029	 -50.5	11.0	17452-2756	  1.48	  14.51	 -16.77	 -144.30	-5393.00	 -9.38	 11.93	  13.96	   9.86	   9.82	   6.71	       	       	2MASS	MSX	001.155	-00.029	11.000	  0.394	  0.429	vla/OH001.155-00.029.dat	                         	267.1143	-27.9636
17 48 32.18	-27 59 55.0	 	OH001.134-00.062	  51.0	13.1	17452-2756	 18.25	       	       	        	        	      	      	       	       	       	 -16.11	 -14.02	  11.74	2MASS	MSX	001.134	-00.062	13.100	  0.468	  0.199	vla/OH001.134-00.062.dat	                         	267.1341	-27.9986
17 48 33.07	-28 25 10.7	 	OH000.775-00.282	-160.7	 0.0	17453-2824	  0.68	   2.42	  -6.92	  -88.75	-1291.00	 -8.79	  1.89	   2.73	   2.53	   3.40	 -14.86	  11.92	   9.36	2MASS	MSX	000.775	-00.282	 0.000	  0.435	  0.000	vla/OH000.775-00.282.dat	                         	267.1378	-28.4196
17 48 37.44	-30 25 12.1	 	OH359.069-01.327	  57.1	13.1	17454-3024	  0.40	  50.46	  35.02	   10.14	 -446.90	 -8.75	 25.54	  33.43	  25.94	  31.64	   7.59	   5.77	   4.58	2MASS	MSX	359.069	-01.327	13.100	  0.244	  1.816	vla/OH359.069-01.327.dat	                         	267.1560	-30.4200
17 48 40.93	-33 41 08.8	 	OH356.273-03.018	  -8.6	10.2	17453-3340	  0.08	  29.09	  28.35	    4.57	 -139.70	      	      	       	       	       	   7.70	   6.06	   4.84	2MASS	MSX	356.273	-03.018	10.200	  0.656	  0.633	vla/OH356.273-03.018.dat	                         	267.1705	-33.6858
17 48 51.94	-30 05 19.0	 	OH359.380-01.201	-219.1	16.1	17456-3004	  0.64	  -3.94	  12.87	   25.54	 -464.60	 -8.75	 -0.09	   1.41	   2.51	   8.50	       	       	       	2MASS	MSX	359.380	-01.201	16.100	  3.074	  3.679	vla/OH359.380-01.201.dat	                         	267.2164	-30.0886
17 48 55.04	-26 35 35.2	 	OH002.382+00.590	  94.8	13.1	17457-2634	  0.73	   5.43	   6.69	  -43.49	 -409.40	 -9.25	  4.10	   5.48	   5.67	   6.46	 -15.45	  11.27	   8.45	2MASS	MSX	002.382	+00.590	13.100	  0.337	  0.468	vla/OH002.382+00.590.dat	                         	267.2293	-26.5931
17 49 06.08	-29 22 05.8	 	OH000.024-00.874	  45.1	13.1	17456-2920	 11.15	       	       	        	        	 -8.75	  1.15	   1.76	   2.11	   3.47	       	       	       	2MASS	MSX	000.024	-00.874	13.100	  0.280	  0.394	vla/OH000.024-00.874.dat	                         	267.2753	-29.3683
17 49 06.61	-30 58 21.0	 	OH358.649-01.701	   6.8	13.9	17459-3057	  2.04	       	       	        	        	      	      	       	       	       	 -13.86	 -12.59	   9.91	2MASS	MSX	358.649	-01.701	13.900	  5.544	  9.576	vla/OH358.649-01.701.dat	                         	267.2776	-30.9725
17 49 20.89	-27 41 53.2	 	OH001.484-00.061	-127.9	13.9	17461-2741	  0.52	  -5.24	   7.26	   29.86	 -435.90	 -9.38	  0.45	   1.97	   3.91	   5.67	       	       	       	2MASS	MSX	001.484	-00.061	13.900	  2.104	  3.304	vla/OH001.484-00.061.dat	                         	267.3370	-27.6981
17 49 27.83	-28 50 02.1	 	OH000.523-00.667	 107.9	78.8	17462-2845	 28.23	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	000.523	-00.667	78.800	  0.816	  0.721	vla/OH000.523-00.667.dat	                         	267.3659	-28.8339
17 49 40.21	-28 44 48.4	 	OH000.621-00.661	 -46.8	16.1	17464-2843	  1.72	       	       	        	        	 -8.75	 10.06	  12.24	  14.83	  10.91	 -16.76	 -14.95	  10.13	2MASS	MSX	000.621	-00.661	16.100	  0.761	  0.701	vla/OH000.621-00.661.dat	                         	267.4175	-28.7468
17 50 02.01	-27 25 02.1	 	OH001.803-00.047	 118.9	13.9	17466-2727	 29.58	       	       	        	        	      	      	       	       	       	  14.71	  11.10	   9.59	2MASS	MSX	001.803	-00.047	13.900	  0.355	  1.878	vla/OH001.803-00.047.dat	                         	267.5084	-27.4172
17 50 26.33	-32 36 09.6	 	OH357.393-02.779	 167.4	11.0	17471-3235	  0.26	  -2.16	   9.07	    7.39	 -139.30	 -9.42	 -0.09	  -1.32	   1.25	   7.49	  10.44	   9.47	   8.97	2MASS	MSX	357.393	-02.779	11.000	  1.204	  0.822	vla/OH357.393-02.779.dat	                         	267.6097	-32.6027
17 50 28.91	-25 50 30.1	 	OH003.207+00.675	 -60.7	11.0	17473-2549	  0.98	   6.31	   9.31	  -24.94	 -632.50	 -9.13	  5.37	   8.25	   8.60	  10.73	  12.95	  10.62	   8.84	2MASS	MSX	003.207	+00.675	11.000	  1.245	  1.420	vla/OH003.207+00.675.dat	                         	267.6204	-25.8417
17 50 41.17	-24 09 17.1	 	OH004.680+01.499	  42.2	16.1	17476-2408	  0.30	  -7.52	  13.98	    6.12	  -40.54	 -9.67	  3.42	   4.83	   7.58	  11.13	       	       	       	2MASS	MSX	004.680	+01.499	16.100	  0.142	  0.201	vla/OH004.680+01.499.dat	                         	267.6716	-24.1548
17 51 01.37	-26 34 18.2	 	OH002.642+00.197	  20.3	13.1	17477-2633	  5.19	       	       	        	        	 -9.38	  1.62	   2.05	   2.90	   3.21	       	       	       	2MASS	MSX	002.642	+00.197	13.100	  0.435	  0.708	vla/OH002.642+00.197.dat	                         	267.7557	-26.5717
17 51 02.13	-24 18 16.2	 	OH004.592+01.354	  86.8	12.4	17481-2420	 26.98	       	       	        	        	 -9.63	  1.84	   2.56	   3.21	   3.92	 -14.38	 -12.88	  10.18	2MASS	MSX	004.592	+01.354	12.400	  0.636	  0.575	vla/OH004.592+01.354.dat	                         	267.7589	-24.3045
17 51 10.06	-29 48 48.9	 	OH359.872-01.488	 333.1	 0.0	17479-2947	  2.10	       	       	        	        	 -8.75	  1.54	   2.15	   1.98	   2.93	 -12.90	  10.76	   8.46	2MASS	MSX	359.872	-01.488	 0.000	  0.267	  0.000	vla/OH359.872-01.488.dat	                         	267.7919	-29.8136
17 51 12.12	-30 33 39.2	 	OH359.233-01.876	 -15.9	13.1	17479-3032	  0.67	   2.62	  13.02	   16.51	 -106.10	 -9.25	  0.27	  -1.37	   2.89	   8.06	 -11.05	 -10.99	  11.78	2MASS	MSX	359.233	-01.876	13.100	  1.512	  1.936	vla/OH359.233-01.876.dat	                         	267.8005	-30.5609
17 51 22.86	-25 01 53.7	 	OH004.007+00.915	  72.9	14.6	17482-2501	  0.25	   1.34	   5.18	   11.53	 -381.60	 -9.13	 -0.09	  -1.35	   1.45	   3.60	 -13.86	 -12.63	  12.59	2MASS	MSX	004.007	+00.915	14.600	  1.249	  0.572	vla/OH004.007+00.915.dat	                         	267.8453	-25.0316
17 51 26.71	-28 25 38.3	 	OH001.095-00.832	  10.8	19.7	17482-2824	  0.09	 428.70	 480.40	  109.10	 -259.40	 71.68	122.71	 171.60	 181.84	 255.43	   8.97	   5.58	       	2MASS	MSX	001.095	-00.832	19.700	 45.039	 42.403	vla/OH001.095-00.832.dat	                         	267.8613	-28.4273
17 51 27.37	-29 10 31.0	 	OH000.453-01.216	  37.8	16.1	17482-2909	  0.17	  -4.94	  10.52	   23.88	 -253.70	      	      	       	       	       	       	       	       	2MASS	MSX	000.453	-01.216	16.100	  0.267	  0.392	vla/OH000.453-01.216.dat	                         	267.8640	-29.1753
17 51 29.41	-23 51 41.5	V	OH005.026+01.491	 120.3	13.6	17484-2350	  0.90	  -2.98	   6.66	    8.62	  -52.61	 -9.67	 -0.09	  -1.40	   0.88	   5.28	 -12.03	  12.17	  11.64	2MASS	MSX	005.026	+01.491	13.600	  2.600	  0.900	vla/OH005.026+01.491.dat	atca/OH005.026+01.491.dat	267.8725	-23.8615
17 51 31.95	-30 14 34.3	 	OH359.543-01.775	  86.3	 8.8	17483-3011	 18.46	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	359.543	-01.775	 8.800	  0.440	  0.256	vla/OH359.543-01.775.dat	                         	267.8831	-30.2429
17 51 43.15	-23 46 30.7	V	OH005.127+01.490	-185.0	17.0	17486-2345	  0.12	  13.66	  18.03	    5.28	  -49.82	 -9.67	 13.45	  16.25	  16.24	  20.56	 -15.44	  12.02	   8.57	2MASS	MSX	005.127	+01.490	17.000	  0.300	  0.200	vla/OH005.127+01.490.dat	                         	267.9298	-23.7752
17 51 54.80	-25 33 06.6	 	OH003.621+00.546	  65.6	 0.0	17488-2532	  0.57	  18.27	  16.56	  -28.49	 -256.50	      	      	       	       	       	   9.54	   7.08	   5.55	2MASS	MSX	003.621	+00.546	 0.000	  0.674	  0.000	vla/OH003.621+00.546.dat	                         	267.9783	-25.5518
17 51 58.76	-31 49 01.3	 	OH358.236-02.659	-102.0	10.2	17487-3148	  0.46	   3.29	   3.78	  -11.72	  -89.95	 -9.42	  3.79	   4.66	   3.82	   5.25	  12.09	   9.74	   8.06	2MASS	MSX	358.236	-02.659	10.200	  0.369	  0.254	vla/OH358.236-02.659.dat	                         	267.9949	-31.8170
17 52 04.28	-27 17 39.9	 	OH002.140-00.373	 159.0	17.5	17488-2716	  1.61	       	       	        	        	 -8.79	  1.18	   2.01	   2.15	  -2.62	  14.76	  11.22	   8.80	2MASS	MSX	002.140	-00.373	17.500	  0.260	  0.516	vla/OH002.140-00.373.dat	                         	268.0178	-27.2944
17 52 08.67	-28 24 54.1	 	OH001.184-00.958	 307.9	11.7	17489-2824	  0.37	   3.19	   3.20	  -20.66	 -362.00	      	      	       	       	       	       	       	       	2MASS	MSX	001.184	-00.958	11.700	  0.269	  0.337	vla/OH001.184-00.958.dat	                         	268.0361	-28.4150
17 52 19.18	-25 37 08.0	 	OH003.610+00.433	-132.3	15.3	17492-2536	  0.79	  -5.25	   7.23	  -23.04	 -301.30	 -9.25	  3.09	   4.83	   5.81	   7.24	 -12.86	  12.92	   9.49	2MASS	MSX	003.610	+00.433	15.300	  0.615	  0.292	vla/OH003.610+00.433.dat	                         	268.0799	-25.6189
17 52 30.71	-26 46 17.2	 	OH002.640-00.191	 124.0	 0.0	17494-2645	  0.34	  -7.81	   5.30	  -22.08	 -328.50	      	      	       	       	       	       	       	       	2MASS	MSX	002.640	-00.191	 0.000	  2.617	  0.000	vla/OH002.640-00.191.dat	                         	268.1280	-26.7715
17 52 52.61	-26 18 39.4	 	OH003.078-00.027	  -9.6	18.3	17497-2618	  0.59	   4.15	   9.67	  -21.04	 -221.60	 -9.38	  2.56	   2.80	   5.79	   5.69	       	       	       	2MASS	MSX	003.078	-00.027	18.300	  0.309	  0.298	vla/OH003.078-00.027.dat	                         	268.2192	-26.3109
17 52 56.51	-28 11 41.0	 	OH001.463-00.997	 -30.1	11.0	17497-2811	  0.47	  15.23	  11.02	  -21.57	 -270.80	      	      	       	       	       	   7.85	   6.20	   5.03	2MASS	MSX	001.463	-00.997	11.000	  0.558	  0.581	vla/OH001.463-00.997.dat	                         	268.2355	-28.1947
17 52 57.87	-26 10 38.5	 	OH003.203+00.024	 -41.0	16.1	17497-2608	 11.30	       	       	        	        	 -9.38	 -0.09	  -1.49	   1.27	   2.47	       	       	       	2MASS	MSX	003.203	+00.024	16.100	  1.253	  1.439	vla/OH003.203+00.024.dat	                         	268.2411	-26.1774
17 53 18.84	-26 56 39.9	 	OH002.582-00.433	  -3.8	22.6	17501-2656	  1.12	 243.60	 195.50	  -61.12	 -227.40	 69.32	101.59	 115.54	 106.66	 125.26	   6.32	       	       	2MASS	MSX	002.582	-00.433	22.600	  6.416	  6.865	vla/OH002.582-00.433.dat	                         	268.3285	-26.9444
17 53 19.73	-26 46 45.3	 	OH002.726-00.352	-143.2	10.2	17500-2647	 12.45	       	       	        	        	 -8.79	  1.78	   2.95	   2.80	   3.78	       	       	       	2MASS	MSX	002.726	-00.352	10.200	  0.719	  0.364	vla/OH002.726-00.352.dat	                         	268.3322	-26.7792
17 53 35.90	-31 44 20.1	 	OH358.478-02.916	-274.3	14.6	17505-3143	 10.04	       	       	        	        	 -8.96	  1.45	   2.18	   2.36	   3.92	 -13.61	 -12.58	  11.92	2MASS	MSX	358.478	-02.916	14.600	  0.237	  0.323	vla/OH358.478-02.916.dat	                         	268.3996	-31.7389
17 53 47.37	-31 44 26.6	 	OH358.497-02.952	   3.8	15.3	17505-3143	  0.95	  47.60	  69.51	   23.82	  -84.41	      	      	       	       	       	 -15.81	 -14.89	  10.66	2MASS	MSX	358.497	-02.952	15.300	  2.921	  1.543	vla/OH358.497-02.952.dat	                         	268.4474	-31.7407
17 53 50.70	-29 55 26.7	 	OH000.072-02.044	 182.0	10.9	17506-2955	  1.44	   1.62	   6.29	    6.61	 -194.40	      	      	       	       	       	       	       	       	2MASS	MSX	000.072	-02.044	10.900	  0.312	  0.758	vla/OH000.072-02.044.dat	                         	268.4613	-29.9241
17 54 06.03	-23 41 08.7	 	OH005.481+01.066	 -48.3	 7.3	17510-2340	  0.35	   4.53	   5.16	   -2.17	  -40.86	 -9.63	  3.43	   4.36	   4.38	   5.28	  12.50	   9.39	   7.34	2MASS	MSX	005.481	+01.066	 7.300	  0.135	  0.221	vla/OH005.481+01.066.dat	                         	268.5251	-23.6858
17 54 13.43	-26 19 42.6	 	OH003.216-00.296	 -82.6	13.9	17511-2619	  0.19	   3.89	   7.38	  -16.46	  176.20	 -8.79	  4.76	   6.61	   8.25	   8.53	 -14.44	 -13.41	  11.60	2MASS	MSX	003.216	-00.296	13.900	  1.006	  0.771	vla/OH003.216-00.296.dat	                         	268.5560	-26.3285
17 54 45.12	-25 33 23.5	 	OH003.942-00.008	 -14.0	16.8	17516-2532	  1.52	       	       	        	        	 -9.38	  2.73	   2.66	   5.45	   5.90	       	       	       	2MASS	MSX	003.942	-00.008	16.800	  1.292	  0.782	vla/OH003.942-00.008.dat	                         	268.6880	-25.5565
17 55 02.36	-24 06 46.0	 	OH005.221+00.665	  93.3	13.1	17519-2406	  0.19	   1.74	   2.91	  -29.82	 -281.50	 -9.13	  1.36	   1.74	   2.06	   3.57	 -16.65	  14.23	  10.50	2MASS	MSX	005.221	+00.665	13.100	  0.320	  0.262	vla/OH005.221+00.665.dat	                         	268.7598	-24.1128
17 55 13.21	-29 14 40.3	 	OH000.810-01.959	-192.5	 0.0	17520-2914	  0.18	   2.80	   5.05	    2.11	 -161.40	 -9.25	  3.30	   3.55	   5.33	   7.37	       	       	       	2MASS	MSX	000.810	-01.959	 0.000	  0.809	  0.000	vla/OH000.810-01.959.dat	                         	268.8050	-29.2445
17 55 13.53	-25 06 58.6	 	OH004.376+00.122	 211.6	17.5	17522-2504	 26.08	       	       	        	        	 -9.38	  3.53	   4.75	   6.27	   5.54	       	       	       	2MASS	MSX	004.376	+00.122	17.500	  0.920	  0.585	vla/OH004.376+00.122.dat	                         	268.8064	-25.1163
17 55 22.22	-25 02 46.6	 	OH004.453+00.129	-225.0	 0.0	17522-2504	 25.35	       	       	        	        	      	      	       	       	       	       	       	       	2MASS	MSX	004.453	+00.129	 0.000	  0.290	  0.000	vla/OH004.453+00.129.dat	                         	268.8426	-25.0463
17 55 36.86	-25 07 12.8	 	OH004.417+00.044	  -1.6	17.5	17525-2506	  0.37	  11.30	  17.65	-1007.00	 1340.00	 -9.38	  3.70	   5.82	   8.21	   8.36	       	       	       	2MASS	MSX	004.417	+00.044	17.500	  2.685	  1.054	vla/OH004.417+00.044.dat	                         	268.9036	-25.1202
17 55 46.74	-28 07 56.9	 	OH001.833-01.505	 -29.7	12.4	17526-2807	  0.70	   3.31	   5.54	  -21.10	 -260.10	 -8.75	  3.48	   4.12	   4.39	   5.72	  13.62	  11.37	   9.03	2MASS	MSX	001.833	-01.505	12.400	  0.720	  0.251	vla/OH001.833-01.505.dat	                         	268.9448	-28.1325
