#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-06-22T18:37:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60d2272c34a6fe	
#INFO	-out.max=unlimited	
#INFO	queryParameters=33	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+AS/92/43/table2
#-nav=cat:J/AJ/123/2772&cat:J/A+A/538/A136&cat:J/ApJS/89/189&cat:J/ApJS/109/489&cat:J/A+AS/92/43&tab:{J/A+AS/92/43/table2}&cat:J/A+AS/127/185&cat:J/A+A/391/967&cat:J/A+A/446/773&cat:J/A+A/299/453&cat:J/AJ/127/501&cat:J/A+AS/128/35&cat:J/A+A/431/779&cat:J/A+A/368/1006&key:source=OH/IR+stars&HTTPPRM:&&-ref=VIZ60d2272c34a6fe&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=LWHM&-out=Source&-out=RA1950&-out=e_RA1950&-out=DE1950&-out=e_DE1950&-out=VH&-out=SH&-out=IH&-out=VL&-out.all=2&-out=SL&-out=IL&-out=C&-out=Vexp&-out=Vc&-out=Date&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+AS/92/43/table2
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+AS/92/43/table2
#-out=LWHM
#-out=Source
#-out=RA1950
#-out=e_RA1950
#-out=DE1950
#-out=e_DE1950
#-out=VH
#-out=SH
#-out=IH
#-out=VL
#-out=SL
#-out=IL
#-out=C
#-out=Vexp
#-out=Vc
#-out=Date
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_40920043
#Name: J/A+AS/92/43
#Title: Radio Obs. of OH/IR stars close to Gal.Center (Lindqvist+ 1992)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_AS_92_43_table2:
#Name: J/A+AS/92/43/table2
#Title: OH/IR stars close to Galactic centre
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	LWHM	(A5)	Source Designation	[ucd=meta.id;meta.main]
#Column	Source	(A15)	OH name (galactic longitude & latitude)	[ucd=meta.id]
#Column	RA1950	(A12)	Right ascension for 1950	[ucd=pos.eq.ra;meta.main]
#Column	e_RA1950	(F6.3)	rms error of RA1950	[ucd=stat.error;pos.eq.ra]
#Column	DE1950	(A12)	Declination 1950	[ucd=pos.eq.dec;meta.main]
#Column	e_DE1950	(F5.2)	rms error of DE1950	[ucd=stat.error;pos.eq.dec]
#Column	VH	(F6.1)	? Radial velocity (LSR) of the high-velocity component	[ucd=spect.dopplerVeloc]
#Column	SH	(F5.2)	? Peak flux density of the high-velocity component	[ucd=phot.flux.density]
#Column	IH	(F5.2)	? Integrated 1612 MHz flux density of the high-velocity component	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	VL	(F6.1)	Radial velocity (LSR) of the low-velocity component	[ucd=phys.veloc]
#Column	SL	(F5.2)	? Peak flux density of the low-velocity component	[ucd=phot.flux.density]
#Column	IL	(F5.2)	? Integrated 1612 MHz flux density of the low-velocity component	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	C	(F5.2)	Correction factor due to the primary beam attenuation	[ucd=arith.factor]
#Column	Vexp	(F4.1)	? Expansion velocity of the shell =(VH-VL)/2	[ucd=phys.veloc.expansion]
#Column	Vc	(F6.1)	? Radial velocity (LSR) of the star = (VH+VL)/2	[ucd=spect.dopplerVeloc]
#Column	Date	(A10)	Date of observation	[ucd=time.epoch]
#Column	Remarks	(A4)	Comments on individual spectra	[ucd=meta.note]
#Column	_RA.icrs	(A12)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A12)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000	_DEJ2000	LWHM	Source	RA1950	e_RA1950	DE1950	e_DE1950	VH	SH	IH	VL	SL	IL	C	Vexp	Vc	Date	Remarks	_RA.icrs	_DE.icrs
266.47593846	-28.52968381	116.1	OH0.379+0.159  	17 42 44.216	 0.009	-28 30 38.33	 0.13	 154.6	 0.62	 2.26	 124.0	 1.01	 2.37	 2.05	15.3	 139.3	1985-03-31	H   	17 45 54.225	-28 31 46.86
266.47588088	-28.52980631	116.2	OH0.379+0.159  	17 42 44.202	 0.001	-28 30 38.77	 0.01	 154.6	 0.86	 1.57	 124.0	 0.90	 2.33	 3.23	15.3	 139.3	1985-06-19	H   	17 45 54.211	-28 31 47.30
266.63203083	-28.59462524	117.1	OH0.395+0.008  	17 43 21.573	 0.017	-28 34 34.84	 0.26	 212.5	 0.17	 0.54	 186.4	 0.17	 0.82	 1.25	13.1	 199.5	1985-03-31	    	17 46 31.687	-28 35 40.65
266.63211610	-28.59493039	117.2	OH0.395+0.008  	17 43 21.593	 0.024	-28 34 35.94	 0.36	 213.7	 0.20	 0.58	 186.4	 0.33	 1.05	 1.71	13.7	 200.1	1985-06-19	    	17 46 31.708	-28 35 41.75
266.68704704	-28.58296662	118.1	OH0.430-0.027  	17 43 34.792	 0.012	-28 33 53.83	 0.16	  50.5	 0.20	 1.19	  13.1	 0.30	 1.04	 1.40	18.7	  31.8	1985-03-30	    	17 46 44.891	-28 34 58.68
266.68688181	-28.58320075	118.2	OH0.430-0.027  	17 43 34.752	 0.014	-28 33 54.67	 0.23	  50.5	 0.24	 0.89	  14.2	 0.25	 1.03	 1.39	18.2	  32.4	1985-04-26	    	17 46 44.852	-28 34 59.52
266.83860513	-28.65597720	119  	OH0.437-0.179  	17 44 11.049	 0.044	-28 38 19.31	 0.74	 113.8	 0.24	 1.17	  78.6	 0.11	 0.66	 1.68	17.6	  96.2	1985-06-19	    	17 47 21.265	-28 39 21.52
266.67634101	-28.55713757	120.1	OH0.447-0.006  	17 43 32.262	 0.013	-28 32 20.66	 0.20	-173.9	 0.19	 0.54	-200.0	 0.23	 0.66	 1.55	13.1	-186.9	1985-03-29	    	17 46 42.322	-28 33 25.69
266.67627201	-28.55743235	120.2	OH0.447-0.006  	17 43 32.245	 0.001	-28 32 21.72	 0.01	-173.9	 0.16	 0.33	-201.2	 0.25	 0.65	 1.31	13.7	-187.5	1985-06-16	    	17 46 42.305	-28 33 26.76
266.62812097	-28.52620979	121  	OH0.452+0.046  	17 43 20.738	 0.036	-28 30 28.48	 0.60	  97.9	 0.10	 0.30	  77.5	 0.25	 0.74	 1.43	10.2	  87.7	1985-06-19	    	17 46 30.749	-28 31 34.35
266.64868319	-28.53549912	122.1	OH0.453+0.026  	17 43 25.658	 0.012	-28 31 02.28	 0.17	 109.3	 0.37	 1.03	  74.1	 0.12	 0.46	 1.67	17.6	  91.7	1985-03-31	    	17 46 35.684	-28 32 07.80
266.64852979	-28.53562487	122.2	OH0.453+0.026  	17 43 25.621	 0.028	-28 31 02.73	 0.39	 109.3	 0.65	 1.11	  74.1	 0.18	 0.53	 1.36	17.6	  91.7	1985-06-19	    	17 46 35.647	-28 32 08.25
266.85448050	-28.60924669	123.1	OH0.484-0.167  	17 44 14.929	 0.008	-28 35 31.36	 0.11	 152.4	 0.89	 2.97	 129.7	 0.71	 2.29	 2.24	11.4	 141.1	1985-03-31	H   	17 47 25.075	-28 36 33.29
266.85446812	-28.60926620	123.2	OH0.484-0.167  	17 44 14.926	 0.025	-28 35 31.43	 0.39	 152.4	 1.10	 3.54	 129.7	 0.95	 3.10	 1.36	11.4	 141.1	1985-06-19	H   	17 47 25.072	-28 36 33.36
266.90366705	-28.62293056	124.1	OH0.495-0.211  	17 44 26.711	 0.013	-28 36 21.48	 0.18	  38.0	 0.62	 1.99	   4.0	 0.31	 1.27	 2.81	17.0	  21.0	1985-03-30	    	17 47 36.880	-28 37 22.55
266.90356782	-28.62305605	124.2	OH0.495-0.211  	17 44 26.687	 0.013	-28 36 21.93	 0.23	  38.0	 0.66	 1.83	   4.0	 0.33	 1.02	 1.60	17.0	  21.0	1985-04-26	    	17 47 36.856	-28 37 23.00
266.66290242	-28.46844579	125.1	OH0.517+0.050  	17 43 29.171	 0.012	-28 27 01.14	 0.18	 184.2	 0.43	 1.56	 150.1	 0.29	 1.34	 2.56	17.1	 167.2	1985-03-31	H   	17 46 39.097	-28 28 06.40
266.66265698	-28.46851643	125.2	OH0.517+0.050  	17 43 29.112	 0.022	-28 27 01.39	 0.36	 184.2	 1.14	 3.12	 151.2	 0.66	 3.15	 1.20	16.5	 167.7	1985-06-19	H   	17 46 39.038	-28 28 06.66
266.91527956	-28.59611826	126  	OH0.523-0.206  	17 44 29.538	 0.021	-28 34 45.16	 0.33	  32.3	 0.10	 0.37	 -10.8	 0.16	 0.58	 1.47	21.6	  10.8	1985-04-26	    	17 47 39.667	-28 35 46.03
266.84995071	-28.54566489	127  	OH0.536-0.130  	17 44 13.938	 0.030	-28 31 42.39	 0.42	 169.4	 0.11	 0.52	 122.9	 0.15	 0.69	 1.10	23.3	 146.2	1985-06-19	    	17 47 23.988	-28 32 44.39
266.76923363	-28.49485278	128  	OH0.543-0.043  	17 43 54.646	 0.001	-28 28 38.06	 0.01	  16.5	 0.22	 0.37	 -23.3	 0.51	 1.10	 1.01	19.9	  -3.4	1985-04-26	    	17 47 04.616	-28 29 41.47
266.78734883	-28.49873999	129  	OH0.548-0.059  	17 43 58.987	 0.014	-28 28 52.37	 0.24	  -0.5	 0.07	 0.79	 -64.1	 0.28	 1.61	 1.01	31.8	 -32.3	1985-04-26	    	17 47 08.964	-28 29 55.46
266.85924501	-28.48876892	130  	OH0.589-0.108  	17 44 16.254	 0.050	-28 28 17.73	 0.50	-185.3	 0.14	 0.22	-214.8	 0.05	 0.08	 1.04	14.8	-200.0	1985-06-16	    	17 47 26.219	-28 29 19.57
266.98133457	-28.43322863	131  	OH0.692-0.171  	17 44 45.634	 0.008	-28 24 59.92	 0.15	  32.3	 0.24	 0.48	  -1.7	 0.33	 0.97	 1.40	17.0	  15.3	1985-04-26	    	17 47 55.520	-28 25 59.62
266.74585870	-28.28339061	132  	OH0.713+0.084  	17 43 49.355	 0.036	-28 15 56.40	 0.45	 117.2	 0.18	 0.51	  76.3	 0.27	 0.92	 1.56	20.5	  96.8	1985-06-19	    	17 46 59.006	-28 17 00.21
266.80622518	-28.28694791	133  	OH0.738+0.036  	17 44 03.835	 0.021	-28 16 10.26	 0.25	-120.6	 0.23	 0.63	-146.7	 0.73	 1.91	 1.48	13.1	-133.6	1985-06-16	    	17 47 13.494	-28 17 13.01
266.71285617	-28.14782910	134  	OH0.814+0.179  	17 43 41.639	 0.014	-28 07 47.81	 0.26	  88.8	 1.89	 4.93	  56.2	 0.51	 1.26	 4.11	16.3	  72.5	1985-04-26	H   	17 46 51.085	-28 08 52.18

